subject,upperbody_label,trunk_lateral_angle,trunk_fb_angle,trunk_depth,trunk_length,shoulder_slope,shoulder_depth_diff,shoulder_width,head_tilt,head_offset_x,head_forward,head_shoulder_alignment,neck_trunk_angle,neck_trunk_angle_ear
1,TLF,22.97796453207878,-80.82501169373089,-0.3898440413177013,0.39579789466981935,-171.81961570261637,0.02672472596168518,0.3083742487801773,161.5519323767416,-0.18083837777906117,-1.0356499692979575,333.371548079358,31.71184374155812,29.645023480921225
1,TLF,23.302868789609093,-80.7163341341862,-0.38838016055524344,0.39448368771681797,-171.88077453540015,0.02403286099433899,0.306882430814113,161.51035327953986,-0.16813516279106733,-1.0457327079781213,333.39112781494,31.57084781281422,28.508150720987686
1,TLF,20.793016752326665,-81.37114364623079,-0.39261332899332047,0.39775215177184603,-170.42515418396712,0.017434924840927124,0.3004766347232131,162.03062384318193,-0.14198622949743672,-1.0699489300295824,332.45577802714905,29.18226678609376,26.844797930806664
1,TLF,19.20567159799035,-80.1943977680973,-0.3865205738693475,0.39294053246768246,-169.13771704689924,0.013573557138442993,0.3035657303231338,160.59440085957647,-0.1402440152315214,-1.0669317174308557,329.7321179064757,29.596786667533276,26.16118573802707
1,TLF,17.831540712832407,-81.81465743486004,-0.38454562053084373,0.3889106537162007,-169.55734257063997,0.011999189853668213,0.3082537597969455,162.24394600172815,-0.11057126471952454,-1.0222950729479336,331.8012885723681,29.07395628005792,26.22939821980921
1,TLF,16.09060081798527,-79.92821678171545,-0.3834658060222864,0.3899629710910418,-169.59357717390318,0.011007934808731079,0.30926875343918464,164.45199184915123,-0.07553173816752567,-1.0309652786592083,334.04556902305444,32.0889024451853,28.328491113356726
1,TLF,17.65620980803553,-81.83263763933036,-0.3710038289427757,0.3751883610045051,-171.47600640431816,0.013524174690246582,0.30720136830678096,161.55402893084,-0.06813052445090283,-1.019432791026596,333.0300353351581,29.590463566418013,26.4268638266055
1,TLF,23.28890792706837,-83.69775354328064,-0.3718688730150461,0.3745472827920505,-173.44305012455365,0.013997882604598999,0.30595275368497005,160.96493447818705,-0.04987692044474365,-1.0383631319421673,334.4079846027407,26.546341272728746,24.712973446802454
1,TLF,21.50082433654809,-83.2490481065907,-0.37191188521683216,0.3749098716197252,-173.11812311939462,0.016328692436218206,0.3064749902528532,161.06198471261317,-0.04915288387303916,-1.047431060524025,334.1801078320078,26.46089763075958,24.474608952258837
1,TLF,20.853705687191464,-83.03837736370696,-0.37241199612617487,0.37557766137227744,-172.82592972270467,0.01703184843063349,0.3063864576877021,161.87576106869244,-0.0327553666154621,-1.0559054065574385,334.70169079139714,26.798990077459962,24.932549709233683
1,TLF,20.018440556059296,-82.6127000709526,-0.3727756682783365,0.3763079309134153,-172.15823728465332,0.017531901597976685,0.3069725294857033,160.9790390954795,-0.038569206543538986,-1.0580941603929535,333.1372763801328,26.987259247396402,25.061227999884036
1,TLF,17.50959080827458,-81.59874425188326,-0.3763725571334362,0.380859117342421,-171.92601567702235,0.020733565092086848,0.3077786888244988,161.82481553257344,-0.060077888926611804,-1.0749854738378997,333.7508312095958,27.469185534201472,25.152778860011345
1,TLF,16.220611317257134,-81.38460324329714,-0.37677125446498394,0.38143289149831,-171.45729748440823,0.02132564783096319,0.3074897968272718,161.74102373952965,-0.06091031225410391,-1.0751049765465075,333.1983212239379,27.81938272796327,25.37695911764424
1,TLF,15.634269188065627,-81.37820762538963,-0.37727935425937176,0.381927213079212,-171.51542400595832,0.0204678475856781,0.3070080766438614,161.4211635916685,-0.06383885621810978,-1.073492619402436,332.93658759762684,28.567504910355453,26.331757313160388
1,TLF,14.627681609178689,-80.67143212722856,-0.37734887935221195,0.3827482636309096,-170.94753279549107,0.02048665285110468,0.3076010529916626,161.40242831960484,-0.06390236692139716,-1.071561020263,332.3499611150959,29.86300409760274,27.676703959922985
1,TLF,14.429617851610436,-80.54583331981745,-0.37641776725649834,0.38194161254629727,-171.06035898959794,0.020683258771896307,0.3078399625437996,161.4524964050245,-0.07579521925524177,-1.0537893463360966,332.5128553946224,30.48230497831148,27.909502011725014
1,TLF,16.252053154476652,-79.35756432953106,-0.37614164501428604,0.3832791926197685,-171.4102214855451,0.019965678453445435,0.30247166667650843,161.67589404051247,-0.05921000823133622,-1.0734582780798025,333.0861155260576,31.402652865615803,28.6955602401659
1,TLF,14.458410132585847,-77.89071048589203,-0.38521488197147846,0.39455717732746465,-170.77443134185268,0.02074620127677912,0.30452215983210695,161.9441039748406,-0.05818673600184073,-1.073553081436558,332.7185353166933,30.17642887839737,26.288781950052353
1,TLF,20.513410624352627,-81.46056861587165,-0.3889367412775755,0.39390338763513233,-171.83071238292396,0.020393401384353582,0.3047726569639627,160.63119818353064,0.04616593930586705,-1.079701484087069,332.4619105664546,19.650540357663818,16.695244630668256
1,TLF,17.160425303225093,-80.0926185946309,-0.39710826240479946,0.40368848448322703,-175.72297519347222,0.022384226322174017,0.3021864662109518,150.06348705544335,0.04949870173870251,-1.0830222949467525,325.78646224891554,12.797506463791057,10.344537654984267
1,TLF,11.80604877506877,-80.40954728200035,-0.3956406656652689,0.4014918146049164,-174.46063292212008,0.02330851554870611,0.308798957329601,160.30375000440898,-0.018540427075161566,-1.0618755807188323,334.76438292652904,14.362167660445971,10.431108146009315
1,TLF,10.759846974299819,-76.88012559153543,-0.3777883071452379,0.3882746367673174,-173.1220385701642,0.01898065209388733,0.3096895136069225,160.04501728434704,-0.027318793319313837,-1.0249174688710485,333.1670558545112,25.788314018509784,19.769033288614608
1,TLF,25.746250140508884,-76.76506952142465,-0.3712310418486595,0.3836776242667862,-172.37230639593136,0.005665123462677002,0.2912576199109563,162.07143379853844,0.056965201201431545,-1.0888459449086858,334.4437401944698,27.03968885867117,22.207124280972966
1,TLF,24.21910290647642,-77.1043654864189,-0.387755474075675,0.39978782084266123,-171.32545751606725,0.013816833496093806,0.29506659018705067,160.0884749166913,0.034240392649268266,-1.1612222729810697,331.41393243275854,22.066843708809717,17.304791871566717
1,TLF,24.099442148729327,-77.21307988383539,-0.3891584742814302,0.4010059286953454,-171.20279119308395,0.013088196516036987,0.2995984880654094,159.18771713514403,0.020518955263043783,-1.1760302954838666,330.39050832822795,21.771960508919708,16.488014977156233
1,TLF,24.502425742923542,-77.34688560025458,-0.38256299681961536,0.39403432640518316,-170.60667344401014,0.011255741119384766,0.3020791408432944,160.71328935230727,0.01280804026950672,-1.0930330767336436,331.31996279631744,30.145170046923653,26.03127073827472
