subject,upperbody_label,head_tilt,shoulder_slope,head_lateral_ratio,head_y_ratio,head_neck_vertical_angle,head_shoulder_alignment,upper_body_inclination,head_trunk_diff,trunk_forward_backward_angle,shoulder_z_asym,hip_shoulder_lateral,ear_height_asym,shoulder_width,shoulder_width_safe,head_depth_ratio_diag,head_center_source,head_center_z_reliable,upper_z_reliable,mid_shoulder_reliable,trunk_support_reliable
1,TLB,-2.4950349309883677,7.982703410569741,0.06972287242591892,0.36903010352435145,2.7266494088288953,-10.477738341558108,10.698996533976441,-13.194031464964809,10.424022150464348,-0.22004345581557178,-0.032264576056655905,-0.2094250125231502,0.3126362689582791,0.3126362689582791,-0.9901026561158185,mid_eye,True,True,True,True
1,TLB,-2.8478841121226424,8.011834488967764,0.06720811628197784,0.36801368132419493,2.349672498191748,-10.859718601090407,10.34944245553163,-13.197326567654272,10.872971522129188,-0.21623235317123737,-0.032418005823247914,-0.20953611741422126,0.3124532861861944,0.3124532861861944,-0.9910130316081872,mid_eye,True,True,True,True
1,TLB,4.383921720116632,10.709921794596568,0.004141165264369342,0.38086727710839025,10.08963771090886,-6.326000074479936,0.6229466043568692,3.760975115759777,12.860010659695288,-0.1596872709367018,-0.10684483447753672,-0.145969361598039,0.31693582404092036,0.31693582404092036,-0.8628081834150163,mid_eye,True,True,True,True
1,TLB,0.20047918073532855,9.471108282199907,0.11137627816037171,0.3364302314267942,8.84946513925281,-9.270629101464579,18.31712582336914,-18.11664664263381,14.843741531286547,-0.22176192424492766,-0.08160870669029271,-0.16754190801939062,0.31599796418469406,0.31599796418469406,-0.8827842162325648,mid_eye,True,True,True,True
1,TLB,-9.385100541348095,7.83492404404987,0.10806730082717297,0.30777846337662185,11.515029302686473,-17.220024585397965,19.347030657291057,-28.732131198639138,16.81687994439348,-0.24073160720256292,-0.04253721949538376,-0.17437658612668225,0.31493696919597286,0.31493696919597286,-0.9332683306674698,mid_eye,True,True,True,True
1,TLB,-11.612643520250515,7.339831641192603,0.10180326661307314,0.3002705348136112,11.39165130313112,-18.952475161443118,18.72845236093505,-30.341095881185566,17.043423721133856,-0.23217923915540903,-0.029529996957920704,-0.18147974392144064,0.3151311015111643,0.3151311015111643,-0.945681620855571,mid_eye,True,True,True,True
1,TLB,8.650617457189526,12.047782267926152,0.17488033019966934,0.38743897181188863,12.247466647455958,-3.3971648107366264,24.293054528758177,-15.64243707156865,20.6698548516068,-0.2837531499542329,-0.130415699548168,-0.13087090058290246,0.3082564138485392,0.3082564138485392,-0.7332138496318319,mid_eye,True,True,True,True
1,TLB,11.034660716428704,12.958336914423654,0.19301636730786526,0.4009549892256051,12.749232990015052,-1.9236761979949506,25.705597090373004,-14.6709363739443,21.186446179496716,-0.28075796800591607,-0.1432256346226691,-0.09654953285895722,0.31677722355939547,0.31677722355939547,-0.7225704447435466,mid_eye,True,True,True,True
1,TLB,12.037330768990302,12.810504997308072,0.22539192843215147,0.41309247456928255,15.808657477754805,-0.7731742283177709,28.617625877440403,-16.580295108450116,20.5141446450822,-0.25491896016024906,-0.13660696792315055,-0.09155701576816513,0.31781912180835853,0.31781912180835853,-0.7926152648482417,mid_eye,True,True,True,True
1,TLB,14.00164556716527,8.031010829552002,0.0707926845802693,0.6471898227174832,1.7971765311971108,5.970634737613267,6.242435917275998,7.7592096498892715,10.71229903071872,-0.15126084024932474,-0.12548167871987914,-0.15513869932972535,0.32574707087973065,0.32574707087973065,-0.4625358365922719,mid_eye,True,True,True,True
1,TLB,12.061335363416106,7.420531225036569,0.049771112026303625,0.41847143289530625,0.6741732664013843,4.640804138379536,6.782591641003634,5.278743722412457,10.799142836278108,-0.14493959756966876,-0.09807619743610405,-0.15432700516638104,0.3272529596363008,0.3272529596363008,-0.8179575757656717,mid_eye,True,True,True,True
