subject,upperbody_label,head_y_ratio,head_neck_vertical_angle,trunk_forward_backward_angle
1,TLF,2.4554520734366623,37.12418503781684,-14.48653899562077
1,TLF,1.6604173059499538,38.1369729853758,-14.39339639951012
1,TLF,3.6819681050610735,35.58450126809552,-14.667165181949375
1,TLF,2.5738629813175593,37.01462933293483,-14.619489391571223
1,TLF,2.129891871320422,36.36134277744728,-14.767583528054242
1,TLF,1.9283480320478485,36.90117032689322,-14.719038144000093
1,TLF,1.2068744108751828,39.30856244593002,-14.830587576239687
1,TLF,6.7600314987192585,24.894998239698793,-14.10153836402912
1,TLF,7.783256805065246,19.545802954081672,-13.73655670513167
1,TLF,5.01755470055099,3.227305145247664,-13.126414724807084
1,TLF,8.5349474031334,11.647219432467576,-13.33613142899275
1,TLF,8.073026486320027,17.29547171873636,-13.404532284739455
1,TLF,3.9445134965731157,32.835438225368534,-13.7185476853805
1,TLF,1.058507761971924,37.50497889843438,-14.267169399915494
1,TLF,1.6296456914256818,37.555472349049595,-14.909124422921286
1,TLF,6.378418950316385,28.88367815834606,-14.915933067852588
1,TLF,4.208164885543312,35.25328676555377,-14.879646786013318
1,TLF,0.9612041856579701,39.1923002129079,-15.829941243333101
1,TLF,6.7469611678716594,28.24617901080479,-14.313506338894882
1,TLF,7.720444423652324,20.30000751696428,-14.31140905998651
1,TLF,0.2316380365560755,39.14217546621123,-14.655469568501058
1,TLF,3.0796499713153307,40.005105158082706,-14.626337896910394
1,TLF,4.476561837326203,39.81013750423436,-14.441960350273773
1,TLF,1.5807717194229631,-0.6613714603599801,-7.902646541598424
1,TLF,-0.5150335886351398,2.9267946593552376,-2.0066514159266187
1,TLF,0.13517994389803611,2.4561459918674964,-1.9976988573472951
1,TLF,-0.4152926322562078,-0.2871649963569635,-2.130312983752839
1,TLF,-0.3624561861659359,0.1744708197789305,-2.2210896902367496
1,TLF,-0.5854504999347154,0.9267005610667348,-4.966286450008089
1,TLF,-0.45104541958004396,0.8721761465202533,-4.893033338771281
1,TLF,-0.5001543191092828,0.6380960562264137,-4.538271970534934
1,TLF,-0.48987808935760935,0.3668435285162837,-4.450653061502971
1,TLF,-0.3055799277707938,-0.40121152270027616,-4.614596566608416
1,TLF,-0.21430764886424147,-0.9701192863454473,-4.874933816980357
1,TLF,0.12713220144554782,-0.2589403730900718,-4.682697334714014
1,TLF,0.038978825224833535,-0.7468099522489619,-4.467835630581564
1,TLF,-0.31636267214806946,0.7389832740042204,-4.537702937112077
1,TLF,-0.9566482021867906,1.1210408464393904,-4.481682782302241
1,TLF,-0.3139898864681967,0.6907496986418511,-3.5698395961440728
1,TLF,1.0464166786629325,1.6527342789598616,-3.3130925680880967
1,TLF,0.7107208450270541,-0.1261889734678526,-3.420978638041909
1,TLF,-0.08476686789373966,0.49523331362636364,-3.4768310596699097
1,TLF,-0.06049835129268266,0.3879034637749747,-3.527863257888566
1,TLF,-0.05209060152508327,0.6243645764503419,-3.3415017055801393
1,TLF,-0.24965736413907869,0.7937333639977727,-4.726632836109506
1,TLF,-0.3389457754794134,0.8394934293541277,-4.684916441302688
1,TLF,-0.43687647559279563,0.6300655202793306,-4.8340125407015995
1,TLF,-0.6540738108664212,0.48709352728997973,-4.773230108200768
1,TLF,-0.9582338170099081,-0.7017735462642208,-4.743325837561669
1,TLF,-0.9972585121990407,-0.839520912705226,-4.712791968816694
1,TLF,-0.16416172096868187,-0.8912845903893946,-4.951219279420315
1,TLF,2.1101166869169985,-0.3108648721270821,-5.203320926059454
1,TLF,3.039942678548651,-0.32600869259464627,-4.881462991581257
1,TLF,2.667878190302344,-0.18384302818716647,-4.974036066199706
1,TLF,1.3375003327010293,-0.4205160853332384,-4.2493565840761365
1,TLF,0.520859389101358,-0.6641030568710672,-4.300199097714794
1,TLF,-0.15329897713306728,-0.6550607668753488,-4.241568095329112
1,TLF,-0.45592417536183927,-0.9483496555281364,-4.299287305704902
1,TLF,1.8277384175852063,-0.945597959561576,-2.8304999882383117
1,TLF,1.6889516955157713,-1.0840360855554927,-3.0301937637444625
1,TLF,1.5305649544853017,-0.7767174236475103,-3.382199996800246
1,TLF,1.4106985067839173,-0.8580200702168305,-3.6734941614768792
1,TLF,1.2523007846906309,-0.9108323997161667,-3.79050196614962
1,TLF,1.1238513256901406,-0.9805163932133388,-3.903824556441588
1,TLF,0.5746600971480498,-0.2498804310785993,-3.787966721165575
1,TLF,0.2772893237040752,0.22027814924554806,-3.3257201865312505
1,TLF,0.29717951772400664,0.13259608623010963,-3.2867183669867153
1,TLF,0.09991580858983662,0.03499493083804324,-3.3684194256423816
1,TLF,-0.00014819980773905783,0.5201017422784115,-3.289230304173819
1,TLF,0.018063769951796038,0.7673022801121733,-3.2701419770007374
1,TLF,-0.054714257415238166,2.245941094222544,-3.443883973377012
1,TLF,-0.2520665020271251,3.2439204197426,-3.260082328453978
1,TLF,-0.4904691914026782,2.814483179785846,-3.1198120122693482
1,TLF,-0.32042277442169254,3.184911557736387,-2.964564382201194
1,TLF,0.29069225666510046,3.4258176719135474,-3.630712850596439
1,TLF,0.8214407666740997,1.012636957095627,-3.722266252033946
1,TLF,0.9509372081450651,-0.7941287522741584,-3.6436153436160055
1,TLF,2.311470500518966,0.5115045122123565,-3.8810577968485567
1,TLF,2.24119323905097,0.4369740678094657,-3.8358586279029465
1,TLF,2.003925681552041,-0.8032134337045617,-3.8073573285856153
1,TLF,1.8342545890073925,-0.8915708152898747,-3.7924622917396413
1,TLF,1.6416741584873207,-0.08137472121746667,-3.7336485453526795
1,TLF,0.755581987649514,0.15735061653938817,-3.483697630002409
